Date ,Alandi,Budhwad (Velholi),Koliye,Paud,basin_total,cluster,regime,pc1,pc2
1988-05-10,38.6,0.0,0.0,0.0,38.6,0,Low,0.49479983581081494,-1.3138254574972668
1988-05-11,0.0,0.0,0.0,0.0,0.0,0,Low,0.20063098214427452,-0.6651939966954004
1988-05-12,0.0,0.0,0.0,0.0,0.0,0,Low,-0.08330738983408442,-0.39746252425554557
1988-06-01,0.0,0.0,0.0,0.0,0.0,0,Low,-0.605234875525617,0.7442068725656045
1988-06-02,0.0,0.0,0.0,0.0,0.0,0,Low,-0.8916623719634981,0.8337389229116843
1988-06-03,0.0,0.0,0.0,0.0,0.0,0,Low,-1.2210725700044942,0.5016797432295697
1988-06-04,0.0,0.0,0.0,0.0,0.0,0,Low,-1.3525246819579781,0.2739491614262024
1988-06-05,0.0,0.0,0.0,0.0,0.0,0,Low,-1.711708961837399,0.25504272902762426
1988-06-06,0.0,0.0,0.0,0.0,0.0,0,Low,-1.815290566167309,-0.01843136591590227
1988-06-07,0.0,10.2,23.2,3.0,36.4,0,Low,-1.1321258356537698,-0.4516627412857978
1988-06-08,7.0,31.4,17.8,11.0,67.2,0,Low,0.18752902917987396,-1.3315668285656808
1988-06-09,0.0,7.4,0.0,0.0,7.4,0,Low,0.2125807376821671,-1.4455610396753555
1988-06-10,32.0,0.0,0.0,0.0,32.0,2,Normal,0.7964007661054495,-1.6866415810083808
1988-06-11,0.0,0.0,0.0,0.0,0.0,0,Low,0.2357381502883033,-0.574528757194365
1988-06-12,0.0,0.0,0.0,0.0,0.0,0,Low,-0.04781869499735671,-0.19187149204993337
1988-07-01,0.0,0.0,0.0,0.0,0.0,0,Low,-0.4891610535291902,0.8433807671709469
1988-07-02,0.0,0.0,0.0,0.0,0.0,0,Low,-0.7070501815923046,0.976538827794492
1988-07-03,0.0,0.0,0.0,0.0,0.0,0,Low,-1.1743722641018157,0.7104853283166417
1988-07-04,0.0,0.0,0.0,0.0,0.0,0,Low,-1.3979491852644994,0.2526747600215166
1988-07-05,0.0,0.0,0.0,0.0,0.0,0,Low,-1.7062355453676368,0.2092271438509134
1988-07-06,2.0,1.2,0.0,0.0,3.2,0,Low,-1.7119057199480707,-0.08200966079043778
1988-07-07,0.0,10.8,30.0,5.8,46.599999999999994,0,Low,-0.8284224721410477,-0.6370880950491875
1988-07-08,0.0,9.6,0.0,4.0,13.6,0,Low,-0.5654407702266553,-0.7936851483673267
1988-07-09,0.0,2.0,0.0,0.8,2.8,0,Low,-0.6351342184072816,-0.7244292393226505
1988-07-10,0.0,0.0,0.0,0.0,0.0,0,Low,-1.200117053710476,-0.15832981330629953
1988-07-11,0.0,0.0,0.0,0.0,0.0,0,Low,-1.3311639199945124,0.1814674678171155
1988-07-12,0.0,0.0,0.0,0.0,0.0,0,Low,-1.5391214502688921,0.2970802069909727
1988-08-01,0.0,0.0,0.0,0.0,0.0,0,Low,-1.5838500173078176,0.366081823691845
1988-08-02,0.0,0.0,0.0,0.0,0.0,0,Low,-1.8380212536122622,0.29495832428877156
1988-08-03,0.0,0.0,0.0,0.0,0.0,0,Low,-2.0288443097458444,-0.053433067800146505
1988-08-04,0.0,0.0,0.0,0.0,0.0,0,Low,-2.0786990685036346,-0.15415590341110463
1988-08-05,0.0,0.0,0.0,0.0,0.0,0,Low,-2.086250753961711,-0.17418838054904345
1988-08-06,3.0,0.0,8.4,22.0,33.4,0,Low,-1.3926115716433158,-0.5949686086547195
1988-08-07,0.0,1.0,24.2,3.0,28.2,0,Low,-0.82693624676664,-0.9451876713977143
1988-08-08,3.7,10.2,17.8,14.0,45.7,0,Low,0.08315686212176991,-1.4710711507856118
1988-08-09,0.0,2.0,7.2,0.4,9.6,0,Low,-0.1314416762733247,-1.1124063222912914
1988-08-10,0.0,0.0,0.0,0.0,0.0,0,Low,-0.4055204941455497,-0.5324533900386893
1988-08-11,0.0,0.0,0.0,0.0,0.0,0,Low,-0.818976936840474,0.32604729431426344
1988-08-12,0.0,0.0,0.0,0.0,0.0,0,Low,-0.9277581078786201,0.7055976847019237
1988-09-01,0.0,0.0,0.0,0.0,0.0,0,Low,-1.1467072037648685,0.7949778742532834
1988-09-02,0.0,0.0,0.0,0.0,0.0,0,Low,-1.4038438485151414,0.5783553206402577
1988-09-03,0.0,0.0,0.0,0.0,0.0,0,Low,-1.7338129975898,0.3206992529287197
1988-09-04,0.0,0.0,17.8,0.0,17.8,0,Low,-1.5583508258488465,-0.23505006048780389
1988-09-05,0.0,0.0,0.0,0.0,0.0,0,Low,-1.5753815633043908,-0.3075355152739521
1988-09-06,0.0,2.4,17.8,12.0,32.2,0,Low,-0.9476594964567432,-0.6485094921142605
1988-09-07,0.0,0.2,33.6,0.0,33.800000000000004,0,Low,-0.4236656640217309,-0.8214016711130173
1988-09-08,0.0,8.2,16.2,6.6,31.0,0,Low,0.0737239909679089,-1.1326491731005077
1988-09-09,0.0,3.0,0.0,0.4,3.4,0,Low,-0.20396839522675797,-0.6688102421718852
1988-09-10,0.0,0.0,0.0,0.0,0.0,0,Low,-0.6320647534391335,-0.08582491115105248
1988-09-11,0.0,0.0,0.0,0.0,0.0,0,Low,-1.0213719289019902,0.49300915313390964
1988-09-12,0.0,0.0,0.0,0.0,0.0,0,Low,-1.1209051980320748,0.6185273381363076
1988-10-01,0.0,0.0,0.0,0.0,0.0,0,Low,-1.3148423418922284,0.6649815662720743
1988-10-02,0.0,0.0,0.0,0.0,0.0,0,Low,-1.5925086574750047,0.4257892165170863
1988-10-03,0.0,0.0,0.0,0.0,0.0,0,Low,-1.8438482691661584,0.14300345645581145
1988-10-04,0.0,0.0,0.0,20.0,20.0,0,Low,-1.5432455254075004,-0.300064826160125
1988-10-05,0.0,0.0,0.0,0.0,0.0,0,Low,-1.5425625297362828,-0.32919125291315654
1988-10-06,1.4,0.0,4.2,0.0,5.6,0,Low,-1.465527033479268,-0.40548173644184216
1988-10-07,0.0,0.0,20.6,0.0,20.6,0,Low,-1.2329320893361078,-0.3807633041564684
1988-10-08,0.0,6.8,15.6,2.0,24.4,0,Low,-0.8564549217994883,-0.6541304817895583
1988-10-09,0.0,2.6,6.0,1.0,9.6,0,Low,-0.812507276314694,-0.6485781881772108
1988-10-10,0.0,0.0,0.0,0.0,0.0,0,Low,-1.0702930692598005,-0.32670489952783616
1988-10-11,0.0,0.0,0.0,0.0,0.0,0,Low,-1.3927274198394584,0.06094733920012598
1988-10-12,0.0,0.0,0.0,0.0,0.0,0,Low,-1.5378632745513963,0.18446955784010297
